restaurant_name,inspection_type,inspection_date,inspection_score,zip_code,street_address,inspection_month,inspection_year
TAQUERIA LA ESPERANZA,Routine,05/22/2019,90,75229,2992 WALNUT HILL LN STE #B,May 2019,FY2019
LA CASITA TACOS & PAPUSAS,Routine,05/14/2019,89,75287,2636 FRANKFORD RD STE #109,May 2019,FY2019
PAPPADEAUX SEAFOOD,Routine,05/17/2019,97,75220,10428 LOMBARDY LN,May 2019,FY2019
GASMART,Routine,05/21/2019,80,75232,6005 S R L THORNTON FRWY,May 2019,FY2019
APPLEBEE'S NEIGHBORHOOD BAR & GRILL,Routine,05/14/2019,88,75225,6464 W NORTHWEST HWY 510,May 2019,FY2019
ZIO AL'S PIZZA & PASTA,Routine,06/14/2019,78,75248,15340 DALLAS PKWY #2010,Jun 2019,FY2019
SOTO ELEMENTARY SCHOOL,Routine,05/14/2019,91,75211,4510 W JEFFERSON ST,May 2019,FY2019
SUMO SHACK,Routine,05/20/2019,95,75206,5629 SMU BLVD #120,May 2019,FY2019
SNAP KITCHEN,Routine,05/07/2019,86,75204,4164 N CENTRAL EXPW,May 2019,FY2019
BACHMAN TACOS,Routine,04/21/2019,78,75220,3311 W NORTHWEST HWY,Apr 2019,FY2019
EL HUARACHE RESTAIRANT,Routine,05/30/2019,80,75220,3237 W NORTHWEST HWY #102,May 2019,FY2019
TAQUERIA ACAMBARO,Routine,09/24/2018,100,75228,9334 E RL THORNTON FRWY #214C,Sep 2018,FY2018
TACO PRONTO,Routine,04/24/2019,85,75235,6801 HARRY HINES BLVD,Apr 2019,FY2019
THELMA RICHARDSON ELEM SCHOOL,Routine,05/14/2019,99,75215,7203 BRUTON RD,May 2019,FY2019
ANDREAS RESTAURANT,Routine,05/16/2019,87,75214,7260 GASTON AVE,May 2019,FY2019
ARAMARK @ BAYLOR SCHOOL OF NURSING: CALL (972-576-9168),Routine,05/31/2019,97,75246,333 N WASHINGTON AVE,May 2019,FY2019
FOREST MEADOW JR HIGH,Routine,05/07/2019,95,75243,9373 WHITEHURST DR,May 2019,FY2019
JR'S BAR,Routine,01/31/2017,97,75219,3923 CEDAR SPRINGS RD,Jan 2017,FY2017
DICKEY'S BBQ,Routine,05/30/2019,90,75218,9002 GARLAND RD,May 2019,FY2019
ACCENT FOOD SERVICES,Routine,03/07/2017,98,75219,3090 OLIVE ST #400,Mar 2017,FY2017
VAKA LOKKA,Routine,04/27/2019,93,75223,4402 ASH LN #120,Apr 2019,FY2019
TACO BELL/KFC #372,Routine,06/05/2019,91,75212,1702 N COCKRELL HILL RD,Jun 2019,FY2019
DANTE'S ITALIAN EATERY,Routine,05/21/2018,97,75202,208 N MARKET ST #150,May 2018,FY2018
LOS GIRASOLES,Routine,05/09/2019,94,75217,1639 S BUCKNER BLVD #802,May 2019,FY2019
EL PULPO RESTAURANT,Routine,05/30/2019,82,75217,7918 LAKE JUNE RD,May 2019,FY2019
LAKE HIGHLANDS STUDENT UNION,Routine,05/15/2019,89,75238,9449 CHURCH RD,May 2019,FY2019
HAMPTON PREPARATORY,Routine,03/26/2019,98,75232,8915 HAMPTON RD,Mar 2019,FY2019
SWAMP CAFE,Routine,05/15/2019,96,75287,17721 DALLAS PKWY #104,May 2019,FY2019
BERTA'S RESTAURANTE Y PANADERIA,Routine,05/24/2019,93,75229,11363 DENTON DR #207,May 2019,FY2019
WHATABURGER #559,Routine,05/13/2019,93,75206,6061 GREENVILLE AVE,May 2019,FY2019
FRIENDSHIP WEST BAPTIST,Routine,05/23/2019,97,75224,2020 W WHEATLAND RD,May 2019,FY2019
GATHER,Routine,04/23/2019,94,75230,1601 ELM ST #140,Apr 2019,FY2019
ARLINGTON PARK,Routine,10/15/2018,100,75235,5606 WAYSIDE DR,Oct 2018,FY2019
RESTAURANT & BAR MONTERREY,Routine,05/24/2019,72,75218,11255 GARLAND RD #1400,May 2019,FY2019
LA NUEVA PUNTADA,Routine,05/30/2019,85,75227,2445 S BUCKNER BLVD #190,May 2019,FY2019
HAMPTON INN,Routine,04/25/2019,95,75247,3051 N STEMMONS FRWY,Apr 2019,FY2019
GREEN OAKS HOSPITAL DIETARY,Routine,06/14/2019,92,75251,7808 CLODUS FIELDS DR,Jun 2019,FY2019
SAM'S GRILL & SEAFOOD,Routine,04/11/2017,80,75247,1607 REGAL ROW,Apr 2017,FY2017
GREEK CAFE,Routine,05/23/2019,81,75208,334 W DAVIS ST,May 2019,FY2019
ROGERS ELEMENTARY SCHOOL,Routine,05/28/2019,97,75214,5314 ABRAMS RD,May 2019,FY2019
AMPHITHEATRE BLDG #R1,Routine,07/12/2018,96,75210,1818 FIRST AVE,Jul 2018,FY2018
PROMISE HOSPITAL OF DALLAS,Routine,11/06/2017,97,75235,7955 HARRY HINES BLVD,Nov 2017,FY2018
CASHSAVER DELI,Routine,06/13/2019,94,75216,2130 E LEDBETTER DR,Jun 2019,FY2019
TMGM @ KEETON PARK GOLF COURSE,Routine,05/14/2019,95,75227,2323 N JIM MILLER RD,May 2019,FY2019
TGS MINI MART & CAR WASH,Routine,05/15/2019,92,75220,2917 LOMBARDY LN,May 2019,FY2019
TACOS EL REGIO,Routine,01/20/2017,90,75211,5014 W DAVIS ST,Jan 2017,FY2017
T W BROWNE SCH,Routine,05/28/2019,96,75233,3333 SPRAGUE DR,May 2019,FY2019
GOLDEN CHICK,Routine,05/23/2019,70,75220,3071 W NORTHWEST HWY,May 2019,FY2019
DALAT RESTAURANT & BAR,Routine,06/05/2019,80,75204,2537 N FITZHUGH AVE,Jun 2019,FY2019
SOLAR PREPARATORY SCHOOL FOR GIRLS,Routine,05/16/2019,98,75206,2617 N HENDERSON AVE,May 2019,FY2019
SUNDOWN AT GRANADA UPSTAIR BAR,Routine,04/04/2019,97,75206,3520 GREENVILLE AVE,Apr 2019,FY2019
DALLAS COMEDY HOUSE CAFE,Routine,09/27/2018,99,75226,3025 MAIN ST #100,Sep 2018,FY2018
AMPHITHEATRE BLDG #L2,Routine,02/07/2017,99,75210,1818 FIRST AVE,Feb 2017,FY2017
WHOLE FOODS MARKET (BAKERY),Routine,06/12/2019,96,75201,2510 MCKINNEY AVE,Jun 2019,FY2019
50266 LOVERS SEAFOOD AND MARKET - RESTAURANT,Routine,05/07/2019,89,75209,5200 W LOVERS LN #100,May 2019,FY2019
WINGSTOP,Routine,06/10/2019,85,75206,5334 ROSS AVE #600,Jun 2019,FY2019
S & K GROCERY,Routine,05/07/2017,96,75216,2801 S MARSALIS AVE,May 2017,FY2017
HERO BY HG SUPPLY,Routine,05/31/2019,75,75219,3090 OLIVE ST #B100,May 2019,FY2019
CREATIVE CUISINE,Routine,05/09/2019,87,75209,8321 LEMMON AVE #250,May 2019,FY2019
MALIBU BAR,Routine,05/08/2019,94,75214,4939 COLUMBIA AVE,May 2019,FY2019
THE MEAT SHOP,Routine,05/10/2019,87,75209,4410 W LOVERS LN,May 2019,FY2019
MATTITO'S TEX MEX,Routine,06/06/2019,81,75230,7778 FOREST LN,Jun 2019,FY2019
TIENDA Y RESTAURANT LA CENTRAL,Routine,05/31/2019,82,75228,2220 HIGHLAND RD #B,May 2019,FY2019
SHOP N GO #3,Routine,06/10/2019,85,75240,8220 SPRING VALLEY RD #103,Jun 2019,FY2019
KP FOOD MART/ TAQUERIA,Routine,06/06/2019,89,75217,1928 S ST AUGUSTINE DR,Jun 2019,FY2019
ASCHER SILBERSTEIN ELEMENTARY,Routine,05/13/2019,97,75227,5940 HOLLIS AVE,May 2019,FY2019
PAPPASITO'S CANTINA,Routine,05/17/2019,87,75220,10433 LOMBARDY LN,May 2019,FY2019
KIPP OAK CLIFF,Routine,05/21/2019,95,75216,3200 S LANCASTER RD,May 2019,FY2019
MANNA FOOD STORE,Routine,05/13/2019,94,75217,7010 BRUTON RD,May 2019,FY2019
URBAN PARK ELEMENTARY,Routine,12/06/2017,100,75227,6901 MILITARY PKWY,Dec 2017,FY2018
PANDA EXPRESS,Routine,07/09/2018,98,75248,15204 MONTFORT DR,Jul 2018,FY2018
BREAD WINNERS CAFE & BAKERY,Routine,06/13/2019,85,75209,5560 W LOVERS LN #260,Jun 2019,FY2019
LUNA'S RESTAURANT AND BAR,Routine,05/23/2019,81,75220,2225 CONNECTOR DR,May 2019,FY2019
HONDURAS FRESH COFFEE,Routine,04/27/2019,93,75218,9219 GARLAND RD #2109,Apr 2019,FY2019
IHOP,Routine,05/22/2019,85,75235,1626 W MOCKINGBIRD LN,May 2019,FY2019
MURPHYS RESTAURANT & LOUNGE,Routine,06/04/2019,62,75243,10051 WHITEHURST DR #100,Jun 2019,FY2019
C G'S PIZZA & PASTA,Routine,05/21/2019,95,75270,1201 ELM ST #LL01,May 2019,FY2019
DENNY'S #7421,Routine,05/20/2019,95,75229,2425 WALNUT HILL LN,May 2019,FY2019
BENJAMIN FRANKLIN SCHOOL,Routine,05/14/2019,96,75231,6920 MEADOW RD,May 2019,FY2019
ALANKAR INC,Routine,05/28/2019,88,75212,2600 LONE STAR DR,May 2019,FY2019
CHILDREN'S HEALTH,Routine,05/30/2019,94,75247,1340 EMPIRE CENTRAL,May 2019,FY2019
TAQUERIA LA ESPERANZA,Routine,05/08/2019,78,75229,2992 WALNUT HILL LN STE #B,May 2019,FY2019
WOO MEE OAK,Routine,03/18/2017,77,75243,10560 WALNUT ST #200,Mar 2017,FY2017
HENDERSON CHICKEN,Routine,05/29/2019,91,75215,3103 GRAND AVE,May 2019,FY2019
MR. BIGOTES TAQUERIA,Routine,05/21/2019,96,75208,2200 W CLARENDON DR,May 2019,FY2019
OUMI SUSHI @ SPROUTS 149,Routine,05/21/2019,92,75231,7110 SKILLMAN ST #150,May 2019,FY2019
RED LOBSTER #0884,Routine,05/23/2019,96,75220,10290 E TECHNOLOGY BLVD,May 2019,FY2019
GO 4IT SPORTS GRILL,Routine,05/29/2019,81,75238,10677 E NORTHWEST HWY #400,May 2019,FY2019
AFC SUSHI @ ALBERTSON'S,Routine,06/13/2019,96,75206,9540 GARLAND RD #321,Jun 2019,FY2019
HONG KONG GARDEN RESTAURANT,Routine,06/10/2019,89,75224,2649 S HAMPTON RD,Jun 2019,FY2019
JACK POT CLUB,Routine,05/31/2019,95,75220,10577 DENTON DR,May 2019,FY2019
UMPHREY LEE SCH,Routine,05/24/2019,93,75232,7808 RACINE DR,May 2019,FY2019
PICASSO'S PIZZA,Routine,06/05/2019,84,75244,12300 INWOOD RD #116,Jun 2019,FY2019
KITCHEN/DELI-PHASE 1,Routine,05/11/2017,96,75217,1515 S BUCKNER BLVD #301,May 2017,FY2017
ST. JOHN'S EPISCOPAL SCHOOL,Routine,05/22/2019,90,75218,848 HARTER RD,May 2019,FY2019
JAMES S HOGG SCHOOL,Routine,05/15/2019,95,75208,1144 N MADISON AVE,May 2019,FY2019
SAM'S GRILL & SEAFOOD,Routine,10/16/2017,88,75247,1607 REGAL ROW,Oct 2017,FY2018
SONNY BRYAN'S SMOKEHOUSE,Routine,04/29/2019,98,75235,2625 SEELCCO ST,Apr 2019,FY2019
WOLFGANG PUCK - BAR GRAND HALL,Routine,05/23/2018,100,75202,400 S HOUSTON ST 3F,May 2018,FY2018
GILL ELEMENTARY,Routine,11/15/2018,98,75228,10910 FERGUSON RD,Nov 2018,FY2019
WILLIAMS FRIED CHICKEN,Routine,05/20/2019,94,75215,3009 MLK BLVD,May 2019,FY2019
ASO ROCK RESTAURANT & LOUNGE,Routine,06/04/2019,66,75243,9220 SKILLMAN ST #115,Jun 2019,FY2019
SASSETTA,Routine,04/25/2019,82,75207,1617 HI LINE DR #395,Apr 2019,FY2019
2ND FL WARMING KITCHEN,Routine,09/28/2017,97,75243,8803 STULTS,Sep 2017,FY2017
TAQUERIA LA SALSA VERDE (INSIDE),Follow-up,06/06/2019,77,75254,14225 COIT,Jun 2019,FY2019
MCDONALDS,Routine,04/21/2019,80,75220,3520 STOREY LN,Apr 2019,FY2019
DBU - STUDY GROUNDS,Routine,05/14/2019,97,75211,3000 MOUNTAIN CREEK PKWY,May 2019,FY2019
BOSTON MARKET,Routine,05/13/2019,93,75287,4635 FRANKFORD RD,May 2019,FY2019
HISSHO SUSHI @ THE LANDING CAFE,Routine,05/22/2019,85,75235,2702 LOVE FIELD DR #100,May 2019,FY2019
TERRY'S DONUTS,Routine,06/04/2019,91,75220,9496 WEBB CHAPEL RD,Jun 2019,FY2019
WOLFGANG PUCK CATERING-DOCK AREA,Routine,04/24/2019,99,75202,400 S HOUSTON ST 3F,Apr 2019,FY2019
POPEYE'S,Routine,05/22/2019,92,75243,12435 PLANO RD,May 2019,FY2019
7-ELEVEN CONVENIENCE STORE #35414B,Routine,12/17/2018,97,75248,15707 HILLCREST RD,Dec 2018,FY2019
J L LONG JR HIGH,Routine,05/07/2019,86,75214,6116 REIGER AVE,May 2019,FY2019
CRISPY CHICKEN & RICE,Routine,05/28/2019,94,75227,2943 S BUCKNER BLVD #250,May 2019,FY2019
RAISING CANE'S CHICKEN FINGERS #154,Routine,06/06/2019,95,75243,11748 N CENTRAL EXPW,Jun 2019,FY2019
HARDEMAN'S BBQ & CATERING,Routine,05/30/2019,82,75211,618 S WESTMORELAND RD,May 2019,FY2019
HUDSON FARMERS MARKET,Routine,01/30/2017,100,75235,8008 CEDAR SPRINGS RD C2836,Jan 2017,FY2017
GREEN PAPAYA,Follow-up,05/29/2019,83,75219,3211 OAK LAWN AVE #B,May 2019,FY2019
SAGE DINING URSULINE ACADEMY,Routine,05/16/2019,89,75229,4900 WALNUT HILL LN,May 2019,FY2019
"RESTAURANT Y FRUTERIA ""DOS HERMANOS""",Routine,04/27/2019,92,75228,2212 HIGHLAND RD,Apr 2019,FY2019
EAST HAMPTON SANDWICH CO,Routine,05/21/2019,86,75219,3888 OAK LAWN AVE #100,May 2019,FY2019
WEST DALLAS COMMUNITY SCHOOL,Routine,11/06/2018,100,75212,2300 CANADA DR,Nov 2018,FY2019
CHICK-FIL-A,Routine,06/05/2019,94,75254,14897 PRESTON RD,Jun 2019,FY2019
MCDONALDS,Routine,06/03/2019,94,75241,8333 S LANCASTER RD,Jun 2019,FY2019
DENNIS WATER & BEER WINE,Routine,06/03/2019,96,75229,11055 DENNIS RD #3,Jun 2019,FY2019
RESTAURANTE Y PUPUSERIA LA UNICA,Routine,05/15/2019,69,75228,7325 FERGUSON RD,May 2019,FY2019
ACCENT FOOD SERVICES @ CORAM PROPERTY,Routine,05/14/2019,100,75252,17950 PRESTON RD,May 2019,FY2019
EL RIO GRANDE (TORTILLERIA/BAKERY),Routine,03/28/2018,100,75229,10909 WEBB CHAPEL RD #131,Mar 2018,FY2018
C F CARR SCHOOL,Routine,11/15/2016,95,75212,1952 BAYSIDE ST,Nov 2016,FY2017
TEQUILA RESTAURANTE Y BAR,Routine,05/17/2019,84,75229,2620 WALNUT HILL LN,May 2019,FY2019
BURGER KING,Routine,05/20/2019,99,75229,2441 WALNUT HILL LN,May 2019,FY2019
C-STORE KITCHEN,Routine,06/06/2019,94,75229,2903 ROYAL LN,Jun 2019,FY2019
LUNA PREPARATORY PRIMARY,Routine,04/29/2019,97,75202,2020 N LAMAR ST,Apr 2019,FY2019
S & B STORE,Routine,06/11/2019,83,75217,9606 C F HAWN FRWY,Jun 2019,FY2019
WHOLE FOODS MARKET (FOOD COUNTER/ SALAD BARS),Routine,06/12/2019,95,75201,2510 MCKINNEY AVE,Jun 2019,FY2019
EL TIZONCITO TAQUERIA,Routine,06/05/2019,87,75211,3404 W ILLINOIS AVE #100,Jun 2019,FY2019
GOLDEN RULE CHARTER SCHOOL,Routine,04/23/2019,97,75233,2602 W ILLINOIS AVE,Apr 2019,FY2019
AMC THEATRES NORTHPARK 15 (BAR),Routine,02/05/2018,98,75225,8687 N CENTRAL EXPW #3000,Feb 2018,FY2018
RACETRAC MARKET,Routine,02/22/2018,96,75235,2506 INWOOD RD,Feb 2018,FY2018
THE SNOWCONE ISLAND,Routine,06/04/2019,87,75232,8104 S POLK ST,Jun 2019,FY2019
CASITA TEX MEX BAR & GRILL,Routine,06/05/2019,82,75231,5807 BLACKWELL ST,Jun 2019,FY2019
CAFE LAZIZ,Follow-up,05/20/2019,88,75243,9203 SKILLMAN ST #108,May 2019,FY2019
WHOLE FOODS MARKET-GROCERY,Routine,12/08/2016,98,75230,11700 PRESTON RD 714,Dec 2016,FY2017
OLIVE GARDEN,Routine,05/30/2019,88,75238,3351 CANYON BLUFF BLVD,May 2019,FY2019
SCOTTISH RITE/CLINIC LEVEL & CRAYON CAFE,Routine,05/30/2019,96,75219,2222 WELBURN ST,May 2019,FY2019
LAS GUERAS RESTAURANT,Routine,04/30/2019,86,75247,3334 IRVING BLVD,Apr 2019,FY2019
RICE BOWL EXPRESS,Routine,05/24/2019,81,75218,11419 GARLAND RD #263,May 2019,FY2019
EDGEMERE UPSTAIRS,Routine,01/11/2018,97,75225,8523 THACKERY ST,Jan 2018,FY2018
JACK IN THE BOX #3824,Routine,05/28/2019,90,75241,7410 BONNIE VIEW RD,May 2019,FY2019
PANDA EXPRESS,Routine,04/21/2019,96,75220,9411 WEBB CHAPEL RD 100,Apr 2019,FY2019
DALLAS DINER DONUTS,Follow-up,05/08/2019,94,75238,10515 E NORTHWEST HWY,May 2019,FY2019
CHEF HOUSE RESTAURANT,Routine,05/30/2019,93,75219,4028 CEDAR SPRINGS RD,May 2019,FY2019
ANDERSON'S BBQ,Routine,05/24/2019,91,75235,5410 HARRY HINES BLVD,May 2019,FY2019
16232 CRAZY BROTHERS,Routine,05/24/2019,82,75217,7812 GREAT TRINITY FOREST WAY #300,May 2019,FY2019
FRUTERIA CANO #6,Routine,06/12/2019,68,75218,11255 GARLAND RD #405,Jun 2019,FY2019
AMPHITHEATRE BLDG #L3,Routine,02/07/2017,99,75210,1818 FIRST AVE,Feb 2017,FY2017
RESTAURANTE EL VIAJERO,Follow-up,05/31/2019,87,75220,9516 WEBB CHAPEL RD,May 2019,FY2019
SAM'S CLUB 6373 PRODUCE,Routine,11/20/2016,100,75231,6185 RETAIL RD #100,Nov 2016,FY2017
WE THE BIRDS MACARONS,Routine,06/06/2019,91,75204,4101 BRYAN ST #160,Jun 2019,FY2019
SUSHI STAR,Routine,06/10/2019,85,75230,5956 ROYAL LN,Jun 2019,FY2019
MCDONALDS,Routine,06/06/2019,97,75230,10720 PRESTON RD STE #1102,Jun 2019,FY2019
WOLFGANG PUCK'S CATERING,Routine,05/28/2019,96,75201,2001 FLORA ST,May 2019,FY2019
TACO BELL,Routine,12/11/2017,96,75287,4616 FRANKFORD RD,Dec 2017,FY2018
SHOP N GO,Routine,05/16/2019,86,75214,4950 COLUMBIA AVE,May 2019,FY2019
FCG LAKE HIGHLANDS LLC dba FISH CITY GRILL,Routine,05/23/2019,75,75231,7170 SKILLMAN #100,May 2019,FY2019
LA DUNI LATIN KITCHEN,Routine,05/28/2019,87,75231,8687 N CENTRAL EXPW #1516,May 2019,FY2019
CHURCH'S CHICKEN,Routine,05/09/2019,87,75217,10201 C F HAWN FRWY,May 2019,FY2019
OLIVER WENDELL HOLMES,Routine,05/21/2019,92,75216,2001 E KIEST BLVD,May 2019,FY2019
BUDA JUICE,Routine,05/31/2019,92,75206,5307 E MOCKINGBIRD LN #107,May 2019,FY2019
STERLING HOTEL BANQUET,Routine,04/25/2019,84,75247,1055 REGAL ROW 3RD F,Apr 2019,FY2019
MEXICO LINDO,Routine,05/28/2019,93,75214,7515 EAST GRAND AVE,May 2019,FY2019
WALNUT FOOD MART,Routine,05/16/2019,87,75243,9790 WALNUT ST,May 2019,FY2019
SIGNATURE SERVICES INC,Routine,04/29/2019,80,75235,2705 HAWES AVE,Apr 2019,FY2019
TANOSHI RAMEN,Routine,05/14/2019,87,75226,2724 COMMERCE ST,May 2019,FY2019
